month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,66207.43,61493.38,01-01
1,2,69333.81,63543.59,01-02
1,3,71276.63,65376.33,01-03
1,4,74934.66,68147.21,01-04
1,5,76463.94,72480.03,01-05
1,6,78734.93,75773.2,01-06
1,7,87290.93,77982.56,01-07
1,8,93646.05,83117.94,01-08
1,9,93813.76,80429.13,01-09
1,10,95625.27,81960.79,01-10
1,11,97341.84,82227.8,01-11
1,12,99760.04,81457.81,01-12
1,13,99229.6,81905.7,01-13
1,14,100020.54,78421.86,01-14
1,15,101707.93,76415.58,01-15
1,16,102695.94,74570.06,01-16
1,17,106800.02,67873.15,01-17
1,18,111949.92,67682.39,01-18
1,19,117076.87,69732.94,01-19
1,20,118970.93,70182.45,01-20
1,21,119089.62,70612.32,01-21
1,22,119392.57,71531.63,01-22
1,23,121837.15,71507.83,01-23
1,24,125063.38,74453.29,01-24
1,25,127299.85,77459.66,01-25
1,26,131582.43,81942.17,01-26
1,27,138909.75,89169.23,01-27
1,28,142667.79,93764.7,01-28
1,29,148627.06,95906.4,01-29
1,30,152509.75,97247.23,01-30
1,31,152730.31,100774.0,01-31
2,1,153733.05,102346.45,02-01
2,2,154559.0,99899.17,02-02
2,3,154969.01,97606.1,02-03
2,4,156722.61,95888.69,02-04
2,5,157937.94,96342.07,02-05
2,6,156426.02,98492.31,02-06
2,7,154213.28,100445.23,02-07
2,8,154161.33,98064.09,02-08
2,9,152653.05,97517.31,02-09
2,10,151671.17,98091.21,02-10
2,11,152173.93,95627.55,02-11
2,12,149685.84,90419.69,02-12
2,13,150259.46,91548.35,02-13
2,14,151646.51,94862.55,02-14
2,15,153748.14,96477.27,02-15
2,16,156624.96,99901.21,02-16
2,17,156912.71,101439.38,02-17
2,18,155114.5,103439.6,02-18
2,19,156810.78,104520.53,02-19
2,20,159892.33,104572.05,02-20
2,21,163397.56,105764.04,02-21
2,22,164962.33,105705.97,02-22
2,23,164964.41,108012.23,02-23
2,24,161116.86,106715.66,02-24
2,25,157661.31,107602.95,02-25
2,26,155572.58,108532.13,02-26
2,27,160145.21,107734.96,02-27
2,28,162369.69,106121.14,02-28
2,29,185392.65,126941.65,02-29
3,1,166308.77,107346.75,03-01
3,2,165793.39,109817.77,03-02
3,3,165857.74,107119.18,03-03
3,4,165933.69,104898.51,03-04
3,5,165851.84,103934.78,03-05
3,6,166312.63,102324.26,03-06
3,7,166449.39,100424.32,03-07
3,8,170419.72,105416.24,03-08
3,9,173925.81,109132.82,03-09
3,10,177128.27,110100.18,03-10
3,11,180231.37,111707.88,03-11
3,12,182861.8,114824.26,03-12
3,13,182076.81,115719.8,03-13
3,14,182320.56,116490.48,03-14
3,15,184558.99,114604.78,03-15
3,16,186873.18,113656.73,03-16
3,17,187638.17,114879.58,03-17
3,18,190369.47,115843.26,03-18
3,19,189697.45,117702.29,03-19
3,20,189395.36,118529.08,03-20
3,21,192617.98,122647.2,03-21
3,22,193465.85,122908.32,03-22
3,23,193740.56,121324.68,03-23
3,24,193576.9,122647.18,03-24
3,25,193354.7,123796.22,03-25
3,26,195158.43,123678.5,03-26
3,27,195887.17,122461.9,03-27
3,28,193687.08,123675.87,03-28
3,29,196105.6,122140.96,03-29
3,30,195919.84,119886.15,03-30
3,31,191524.85,119235.59,03-31
4,1,188556.56,120611.13,04-01
4,2,183630.17,121276.01,04-02
4,3,178687.23,119682.79,04-03
4,4,175343.8,119469.06,04-04
4,5,175158.67,115602.66,04-05
4,6,173660.21,115523.0,04-06
4,7,166047.74,116170.87,04-07
4,8,166517.71,115460.85,04-08
4,9,157560.58,113157.91,04-09
4,10,156818.07,110314.58,04-10
4,11,153360.76,110275.07,04-11
4,12,147793.97,114216.29,04-12
4,13,142630.07,112623.25,04-13
4,14,140597.43,115565.06,04-14
4,15,135439.62,118374.22,04-15
4,16,133063.14,118157.74,04-16
4,17,126826.78,116341.22,04-17
4,18,123465.41,113361.84,04-18
4,19,121671.85,109719.51,04-19
4,20,120326.22,107627.66,04-20
4,21,116439.54,103835.41,04-21
4,22,108471.11,97986.18,04-22
4,23,101945.81,96122.42,04-23
4,24,97210.4,93767.34,04-24
4,25,90886.19,91633.88,04-25
4,26,86904.74,89523.63,04-26
4,27,85232.7,87754.43,04-27
4,28,81230.59,84898.78,04-28
4,29,73450.9,78885.6,04-29
4,30,70367.66,77324.34,04-30
5,1,66222.54,73376.6,05-01
5,2,61970.05,68006.92,05-02
5,3,59213.16,64786.15,05-03
5,4,55947.42,62615.58,05-04
5,5,53636.13,60886.43,05-05
5,6,49960.39,58662.89,05-06
5,7,47590.97,55543.05,05-07
5,8,45120.8,54180.37,05-08
5,9,42777.43,52459.78,05-09
5,10,40893.85,51400.97,05-10
5,11,38331.41,50800.28,05-11
5,12,35896.61,49000.6,05-12
5,13,33444.07,47379.56,05-13
5,14,30374.34,42569.85,05-14
5,15,27367.63,38656.65,05-15
5,16,24576.97,35629.3,05-16
5,17,22098.0,33928.83,05-17
5,18,20390.49,32094.98,05-18
5,19,18445.93,29722.0,05-19
5,20,16754.26,26558.25,05-20
5,21,15585.64,26005.06,05-21
5,22,13821.18,24293.59,05-22
5,23,12729.45,22544.57,05-23
5,24,12198.15,21333.35,05-24
5,25,11017.6,20905.15,05-25
5,26,10184.16,19796.68,05-26
5,27,9244.51,17722.94,05-27
5,28,7929.13,15716.76,05-28
5,29,6728.91,12632.23,05-29
5,30,5457.58,10713.27,05-30
5,31,4992.98,10684.32,05-31
6,1,4317.57,9334.04,06-01
6,2,4031.71,7467.16,06-02
6,3,3006.94,5217.87,06-03
6,4,2303.29,4183.85,06-04
6,5,1647.41,3699.29,06-05
6,6,1325.88,2221.04,06-06
6,7,1069.66,1634.86,06-07
6,8,893.76,1355.77,06-08
6,9,1037.24,1725.97,06-09
6,10,907.52,1891.64,06-10
6,11,747.31,1476.0,06-11
6,12,523.89,317.81,06-12
6,13,524.17,372.99,06-13
6,14,556.45,377.18,06-14
6,15,747.87,922.16,06-15
6,16,620.03,399.68,06-16
6,17,572.41,477.88,06-17
6,18,603.84,336.89,06-18
6,19,540.01,363.04,06-19
6,20,539.53,132.72,06-20
6,21,507.81,182.09,06-21
6,22,507.8,182.08,06-22
6,23,491.76,200.3,06-23
6,24,507.63,182.02,06-24
6,25,523.49,160.08,06-25
6,26,539.16,270.28,06-26
6,27,523.49,160.08,06-27
6,28,539.55,191.0,06-28
6,29,539.55,191.0,06-29
6,30,523.49,160.08,06-30
7,1,15.86,95.18,07-01
7,2,0.0,0.0,07-02
7,3,0.0,0.0,07-03
7,4,0.0,0.0,07-04
7,5,0.0,0.0,07-05
7,6,0.0,0.0,07-06
7,7,0.0,0.0,07-07
7,8,0.0,0.0,07-08
7,9,0.0,0.0,07-09
7,10,0.0,0.0,07-10
7,11,0.0,0.0,07-11
7,12,0.0,0.0,07-12
7,13,0.0,0.0,07-13
7,14,0.0,0.0,07-14
7,15,0.0,0.0,07-15
7,16,0.0,0.0,07-16
7,17,0.0,0.0,07-17
7,18,0.0,0.0,07-18
7,19,0.0,0.0,07-19
7,20,0.0,0.0,07-20
7,21,0.0,0.0,07-21
7,22,0.0,0.0,07-22
7,23,0.0,0.0,07-23
7,24,0.0,0.0,07-24
7,25,0.0,0.0,07-25
7,26,0.0,0.0,07-26
7,27,0.0,0.0,07-27
7,28,0.0,0.0,07-28
7,29,0.0,0.0,07-29
7,30,0.0,0.0,07-30
7,31,0.0,0.0,07-31
8,1,0.0,0.0,08-01
8,2,0.0,0.0,08-02
8,3,0.0,0.0,08-03
8,4,0.0,0.0,08-04
8,5,0.0,0.0,08-05
8,6,0.0,0.0,08-06
8,7,0.0,0.0,08-07
8,8,0.0,0.0,08-08
8,9,0.0,0.0,08-09
8,10,0.0,0.0,08-10
8,11,0.0,0.0,08-11
8,12,0.0,0.0,08-12
8,13,0.0,0.0,08-13
8,14,0.0,0.0,08-14
8,15,0.0,0.0,08-15
8,16,0.0,0.0,08-16
8,17,0.0,0.0,08-17
8,18,0.0,0.0,08-18
8,19,0.0,0.0,08-19
8,20,0.0,0.0,08-20
8,21,0.0,0.0,08-21
8,22,0.0,0.0,08-22
8,23,0.0,0.0,08-23
8,24,0.0,0.0,08-24
8,25,0.0,0.0,08-25
8,26,0.0,0.0,08-26
8,27,0.0,0.0,08-27
8,28,0.0,0.0,08-28
8,29,0.0,0.0,08-29
8,30,0.0,0.0,08-30
8,31,0.0,0.0,08-31
9,1,0.0,0.0,09-01
9,2,0.0,0.0,09-02
9,3,0.0,0.0,09-03
9,4,0.0,0.0,09-04
9,5,0.0,0.0,09-05
9,6,0.0,0.0,09-06
9,7,0.0,0.0,09-07
9,8,0.0,0.0,09-08
9,9,0.0,0.0,09-09
9,10,0.0,0.0,09-10
9,11,0.0,0.0,09-11
9,12,0.0,0.0,09-12
9,13,0.0,0.0,09-13
9,14,0.0,0.0,09-14
9,15,0.0,0.0,09-15
9,16,0.0,0.0,09-16
9,17,0.0,0.0,09-17
9,18,0.0,0.0,09-18
9,19,0.0,0.0,09-19
9,20,0.0,0.0,09-20
9,21,0.0,0.0,09-21
9,22,0.0,0.0,09-22
9,23,0.0,0.0,09-23
9,24,0.0,0.0,09-24
9,25,0.0,0.0,09-25
9,26,0.0,0.0,09-26
9,27,0.0,0.0,09-27
9,28,0.0,0.0,09-28
9,29,0.0,0.0,09-29
9,30,0.0,0.0,09-30
10,1,507.82,228.08,10-01
10,2,491.76,200.3,10-02
10,3,507.63,182.02,10-03
10,4,476.09,255.92,10-04
10,5,507.64,227.55,10-05
10,6,779.48,1867.39,10-06
10,7,652.35,1333.56,10-07
10,8,412.95,425.52,10-08
10,9,460.23,267.31,10-09
10,10,746.85,2147.96,10-10
10,11,650.68,1185.15,10-11
10,12,890.65,3104.09,10-12
10,13,523.92,648.12,10-13
10,14,444.37,277.3,10-14
10,15,380.72,273.03,10-15
10,16,444.37,277.3,10-16
10,17,428.31,250.79,10-17
10,18,475.9,215.85,10-18
10,19,412.45,259.42,10-19
10,20,732.31,1865.24,10-20
10,21,396.58,266.79,10-21
10,22,460.23,229.32,10-22
10,23,444.37,240.9,10-23
10,24,460.23,229.32,10-24
10,25,491.92,200.36,10-25
10,26,460.37,267.68,10-26
10,27,652.57,904.98,10-27
10,28,1372.03,2653.54,10-28
10,29,1563.17,3383.22,10-29
10,30,1659.91,3497.82,10-30
10,31,2347.63,4388.06,10-31
11,1,2172.65,5473.36,11-01
11,2,2044.91,5878.42,11-02
11,3,2983.07,6352.11,11-03
11,4,2141.81,5231.89,11-04
11,5,1726.48,4873.01,11-05
11,6,1887.31,5091.47,11-06
11,7,2702.93,5974.6,11-07
11,8,2191.3,4738.84,11-08
11,9,2542.96,5502.24,11-09
11,10,3291.08,6733.88,11-10
11,11,2972.5,6415.75,11-11
11,12,2878.09,6318.63,11-12
11,13,3436.0,7540.87,11-13
11,14,4044.1,7825.4,11-14
11,15,5954.59,11569.13,11-15
11,16,5923.6,10633.59,11-16
11,17,5525.59,10351.97,11-17
11,18,7554.66,11536.29,11-18
11,19,8078.92,12384.22,11-19
11,20,9681.66,12315.55,11-20
11,21,10921.37,13329.52,11-21
11,22,11312.27,13211.22,11-22
11,23,13104.72,15918.15,11-23
11,24,14329.31,17777.25,11-24
11,25,14402.72,18188.99,11-25
11,26,16633.1,18882.96,11-26
11,27,16789.5,18854.94,11-27
11,28,17868.1,19504.7,11-28
11,29,19145.89,20262.93,11-29
11,30,20544.24,21345.34,11-30
12,1,24592.36,26384.63,12-01
12,2,24466.77,23183.3,12-02
12,3,21746.23,23359.94,12-03
12,4,23023.68,28396.76,12-04
12,5,24565.11,28656.82,12-05
12,6,27136.57,30051.69,12-06
12,7,27073.06,32208.3,12-07
12,8,28326.66,33695.53,12-08
12,9,28534.86,29938.0,12-09
12,10,27843.78,29882.11,12-10
12,11,30635.95,32706.1,12-11
12,12,32958.18,33461.38,12-12
12,13,33824.62,37295.99,12-13
12,14,35126.65,35597.94,12-14
12,15,36973.81,35922.98,12-15
12,16,39355.6,39593.83,12-16
12,17,38609.99,39642.44,12-17
12,18,41669.63,42590.41,12-18
12,19,42013.7,43230.15,12-19
12,20,43436.43,45710.41,12-20
12,21,45830.21,47705.64,12-21
12,22,51576.91,55146.56,12-22
12,23,50776.25,52234.44,12-23
12,24,52420.12,51064.69,12-24
12,25,54795.15,51694.14,12-25
12,26,56276.62,51834.02,12-26
12,27,58604.18,55602.87,12-27
12,28,58580.53,56031.94,12-28
12,29,61283.37,59015.45,12-29
12,30,64168.99,61356.55,12-30
12,31,66107.51,64153.8,12-31
